WeekDate,Lesson,Class,Teacher,Subject
Tue,3,12A8,S,GDCD
Tue,3,12A9,Q,Tin học
Tue,3,12A10,P,Anh
Tue,3,12A11,N,Sinh
Tue,3,12A12,B,Toán
Tue,3,12A13,T,Thế chất
Tue,3,12A14,N,Sinh
Tue,3,12A15,P,Anh
Tue,4,12A1,Q,Tin học
Tue,4,12A2,E,Văn
Tue,4,12A3,I,Lý
Tue,4,12A4,I,Lý
Tue,4,12A5,S,GDCD
Tue,4,12A6,V,Địa
Tue,4,12A7,O,Anh
Tue,4,12A8,V,Địa
Tue,4,12A9,Q,Tin học
Tue,4,12A10,Q,Tin học
Tue,4,12A11,Q,Tin học
Tue,4,12A12,O,Anh
Tue,4,12A13,K,Lý
Tue,4,12A14,L,Hóa
Tue,4,12A15,L,Hóa
Tue,5,12A1,T,Thế chất
Tue,5,12A2,S,GDCD
Tue,5,12A3,U,Sử
Tue,5,12A4,R,Nghệ thuật
Tue,5,12A5,G,Văn
Tue,5,12A6,K,Lý
Tue,5,12A7,U,Sử
Tue,5,12A8,X,Công nghệ & hướng nghiệp
Tue,5,12A9,N,Sinh
Tue,5,12A10,P,Anh
Tue,5,12A11,H,Văn
Tue,5,12A12,E,Văn
Tue,5,12A13,X,Công nghệ & hướng nghiệp
Tue,5,12A14,U,Sử
Tue,5,12A15,Q,Tin học
Wed,1,12A1,T,Thế chất
Wed,1,12A2,K,Lý
Wed,1,12A3,C,Toán
Wed,1,12A4,E,Văn
Wed,1,12A5,F,Văn
Wed,1,12A6,X,Công nghệ & hướng nghiệp
Wed,1,12A7,A,Toán
Wed,1,12A8,L,Hóa
Wed,1,12A9,T,Thế chất
Wed,1,12A10,S,GDCD
Wed,1,12A11,L,Hóa
Wed,1,12A12,V,Địa
Wed,1,12A13,K,Lý
Wed,1,12A14,P,Anh
Wed,1,12A15,X,Công nghệ & hướng nghiệp
Wed,2,12A1,S,GDCD
Wed,2,12A2,D,Toán
Wed,2,12A3,U,Sử
Wed,2,12A4,G,Văn
Wed,2,12A5,R,Nghệ thuật
Wed,2,12A6,O,Anh
Wed,2,12A7,G,Văn
Wed,2,12A8,N,Sinh
Wed,2,12A9,I,Lý
Wed,2,12A10,D,Toán
Wed,2,12A11,K,Lý
Wed,2,12A12,P,Anh
Wed,2,12A13,P,Anh
Wed,2,12A14,V,Địa
Wed,2,12A15,L,Hóa
Wed,3,12A1,I,Lý
Wed,3,12A2,Q,Tin học
Wed,3,12A3,L,Hóa
Wed,3,12A4,U,Sử
Wed,3,12A5,C,Toán
Wed,3,12A6,X,Công nghệ & hướng nghiệp
Wed,3,12A7,Q,Tin học
Wed,3,12A8,X,Công nghệ & hướng nghiệp
Wed,3,12A9,L,Hóa
Wed,3,12A10,O,Anh
Wed,3,12A11,Q,Tin học
Wed,3,12A12,M,Hóa
Wed,3,12A13,V,Địa
Wed,3,12A14,X,Công nghệ & hướng nghiệp
Wed,3,12A15,P,Anh
Wed,4,12A1,B,Toán
Wed,4,12A2,C,Toán
Wed,4,12A3,G,Văn
Wed,4,12A4,G,Văn
Wed,4,12A5,D,Toán
Wed,4,12A6,U,Sử
Wed,4,12A7,L,Hóa
Wed,4,12A8,U,Sử
Wed,4,12A9,M,Hóa
Wed,4,12A10,Q,Tin học
Wed,4,12A11,N,Sinh
Wed,4,12A12,T,Thế chất
Wed,4,12A13,Q,Tin học
Wed,4,12A14,C,Toán
Wed,4,12A15,V,Địa
Wed,5,12A1,O,Anh
Wed,5,12A2,M,Hóa
Wed,5,12A3,R,Nghệ thuật
Wed,5,12A4,X,Công nghệ & hướng nghiệp
Wed,5,12A5,O,Anh
Wed,5,12A6,I,Lý
Wed,5,12A7,F,Văn
Wed,5,12A8,P,Anh
Wed,5,12A9,C,Toán
Wed,5,12A10,N,Sinh
Wed,5,12A11,V,Địa
Wed,5,12A12,F,Văn
Wed,5,12A13,X,Công nghệ & hướng nghiệp
Wed,5,12A14,U,Sử
Wed,5,12A15,O,Anh
Wed,6,12A1,Q,Tin học
Wed,6,12A2,U,Sử
Wed,6,12A3,G,Văn
Wed,6,12A4,O,Anh
Wed,6,12A5,I,Lý
Wed,6,12A6,F,Văn
Wed,6,12A7,P,Anh
Wed,6,12A8,D,Toán
Wed,6,12A9,H,Văn
Wed,6,12A10,S,GDCD
Wed,6,12A11,O,Anh
Wed,6,12A12,Q,Tin học
Wed,6,12A13,V,Địa
Wed,6,12A14,P,Anh
Wed,6,12A15,K,Lý
Wed,7,12A1,E,Văn
Wed,7,12A2,T,Thế chất
Wed,7,12A3,I,Lý
Wed,7,12A4,L,Hóa
Wed,7,12A5,L,Hóa
Wed,7,12A6,S,GDCD
Wed,7,12A7,I,Lý
Wed,7,12A8,P,Anh
Wed,7,12A9,P,Anh
Wed,7,12A10,I,Lý
Wed,7,12A11,R,Nghệ thuật
Wed,7,12A12,F,Văn
Wed,7,12A13,Q,Tin học
Wed,7,12A14,U,Sử
Wed,7,12A15,A,Toán
Wed,8,12A1,M,Hóa
Wed,8,12A2,K,Lý
Wed,8,12A3,X,Công nghệ & hướng nghiệp
Wed,8,12A4,G,Văn
Wed,8,12A5,V,Địa
Wed,8,12A6,X,Công nghệ & hướng nghiệp
Wed,8,12A7,P,Anh
Wed,8,12A8,S,GDCD
Wed,8,12A9,T,Thế chất
Wed,8,12A10,G,Văn
Wed,8,12A11,K,Lý
Wed,8,12A12,R,Nghệ thuật
Wed,8,12A13,R,Nghệ thuật
Wed,8,12A14,P,Anh
Wed,8,12A15,Q,Tin học
Wed,9,12A1,S,GDCD
Wed,9,12A2,M,Hóa
Wed,9,12A3,R,Nghệ thuật
Wed,9,12A4,T,Thế chất
Wed,9,12A5,S,GDCD
Wed,9,12A6,B,Toán
Wed,9,12A7,X,Công nghệ & hướng nghiệp
Wed,9,12A8,M,Hóa
Wed,9,12A9,R,Nghệ thuật
Wed,9,12A10,K,Lý
Wed,9,12A11,S,GDCD
Wed,9,12A12,B,Toán
Wed,9,12A13,A,Toán
Wed,9,12A14,N,Sinh
Wed,9,12A15,R,Nghệ thuật
Thu,1,12A1,Q,Tin học
Thu,1,12A2,R,Nghệ thuật
Thu,1,12A3,C,Toán
Thu,1,12A4,U,Sử
Thu,1,12A5,R,Nghệ thuật
Thu,1,12A6,U,Sử
Thu,1,12A7,A,Toán
Thu,1,12A8,E,Văn
Thu,1,12A9,E,Văn
Thu,1,12A10,R,Nghệ thuật
Thu,1,12A11,U,Sử
Thu,1,12A12,K,Lý
Thu,1,12A13,T,Thế chất
Thu,1,12A14,L,Hóa
Thu,1,12A15,R,Nghệ thuật
Thu,2,12A1,S,GDCD
Thu,2,12A2,O,Anh
Thu,2,12A3,B,Toán
Thu,2,12A4,H,Văn
Thu,2,12A5,T,Thế chất
Thu,2,12A6,M,Hóa
Thu,2,12A7,R,Nghệ thuật
Thu,2,12A8,X,Công nghệ & hướng nghiệp
Thu,2,12A9,F,Văn
Thu,2,12A10,L,Hóa
Thu,2,12A11,S,GDCD
Thu,2,12A12,V,Địa
Thu,2,12A13,L,Hóa
Thu,2,12A14,U,Sử
Thu,2,12A15,D,Toán
Thu,3,12A1,I,Lý
Thu,3,12A2,G,Văn
Thu,3,12A3,M,Hóa
Thu,3,12A4,X,Công nghệ & hướng nghiệp
Thu,3,12A5,A,Toán
Thu,3,12A6,V,Địa
Thu,3,12A7,V,Địa
Thu,3,12A8,G,Văn
Thu,3,12A9,A,Toán
Thu,3,12A10,G,Văn
Thu,3,12A11,H,Văn
Thu,3,12A12,I,Lý
Thu,3,12A13,S,GDCD
Thu,3,12A14,Q,Tin học
Thu,3,12A15,U,Sử
Thu,4,12A1,B,Toán
Thu,4,12A2,K,Lý
Thu,4,12A3,P,Anh
Thu,4,12A4,R,Nghệ thuật
Thu,4,12A5,L,Hóa
Thu,4,12A6,V,Địa
Thu,4,12A7,A,Toán
Thu,4,12A8,I,Lý
Thu,4,12A9,I,Lý
Thu,4,12A10,R,Nghệ thuật
Thu,4,12A11,C,Toán
Thu,4,12A12,T,Thế chất
Thu,4,12A13,P,Anh
Thu,4,12A14,L,Hóa
Thu,4,12A15,L,Hóa
Thu,5,12A1,N,Sinh
Thu,5,12A2,R,Nghệ thuật
Thu,5,12A3,T,Thế chất
Thu,5,12A4,I,Lý
Thu,5,12A5,N,Sinh
Thu,5,12A6,L,Hóa
Thu,5,12A7,A,Toán
Thu,5,12A8,V,Địa
Thu,5,12A9,A,Toán
Thu,5,12A10,I,Lý
Thu,5,12A11,K,Lý
Thu,5,12A12,N,Sinh
Thu,5,12A13,N,Sinh
Thu,5,12A14,P,Anh
Thu,5,12A15,G,Văn
Fri,1,12A1,E,Văn
Fri,1,12A2,X,Công nghệ & hướng nghiệp
Fri,1,12A3,O,Anh
Fri,1,12A4,N,Sinh
Fri,1,12A5,X,Công nghệ & hướng nghiệp
Fri,1,12A6,K,Lý
Fri,1,12A7,E,Văn
Fri,1,12A8,Q,Tin học
Fri,1,12A9,A,Toán
Fri,1,12A10,E,Văn
Fri,1,12A11,U,Sử
Fri,1,12A12,L,Hóa
Fri,1,12A13,L,Hóa
Fri,1,12A14,R,Nghệ thuật
Fri,1,12A15,G,Văn
Fri,2,12A1,B,Toán
Fri,2,12A2,G,Văn
Fri,2,12A3,H,Văn
Fri,2,12A4,V,Địa
Fri,2,12A5,S,GDCD
Fri,2,12A6,P,Anh
Fri,2,12A7,P,Anh
Fri,2,12A8,C,Toán
Fri,2,12A9,R,Nghệ thuật
Fri,2,12A10,Q,Tin học
Fri,2,12A11,S,GDCD
Fri,2,12A12,T,Thế chất
Fri,2,12A13,T,Thế chất
Fri,2,12A14,V,Địa
Fri,2,12A15,M,Hóa
Fri,3,12A1,R,Nghệ thuật
Fri,3,12A2,N,Sinh
Fri,3,12A3,R,Nghệ thuật
Fri,3,12A4,R,Nghệ thuật
Fri,3,12A5,M,Hóa
Fri,3,12A6,R,Nghệ thuật
Fri,3,12A7,O,Anh
Fri,3,12A8,P,Anh
Fri,3,12A9,V,Địa
